n_layers,num_bottleneck,batch_size,lr,use_bottleneck,btn_init,use_cross_atn,seed,mode,feature,AUC,ACC,Recall,Precision,F1
1,16,32,5e-06,True,embed,True,392,0,"ko,species",0.9493,0.9149,0.8333,1.0,0.9091
1,16,32,5e-06,True,embed,True,412,0,"ko,species",0.8768,0.8511,0.8333,0.8696,0.8511
1,16,32,5e-06,True,embed,True,432,0,"ko,species",0.9366,0.8511,0.875,0.84,0.8571
1,16,32,5e-06,True,embed,True,452,0,"ko,species",0.913,0.8511,0.7917,0.9048,0.8444
1,16,32,5e-06,True,embed,True,472,0,"ko,species",0.9402,0.8298,0.9167,0.7857,0.8462
